Serial	Date Time	ref(uF)	(uF)	(uF)	(uF)	(uF)	(uF)	(C)
          	22/12/2020 09:38:48	0,00	24,54	24,49	24,48	0	0	+34
          	22/12/2020 09:39:27	0,00	24,53	24,53	24,54	0	0	+34
          	22/12/2020 09:40:19	0,00	24,53	24,54	24,52	0	0	+34
          	22/12/2020 09:41:19	0,00	24,51	24,56	24,61	0	0	+34
          	22/12/2020 09:42:01	0,00	24,60	24,59	24,64	0	0	+34
          	22/12/2020 09:42:43	0,00	24,60	24,58	24,55	0	0	+34
          	22/12/2020 09:43:17	0,00	24,55	24,52	24,51	0	0	+35
          	22/12/2020 09:43:53	0,00	24,63	24,54	24,49	0	0	+35
          	22/12/2020 09:44:39	0,00	24,67	24,60	24,71	0	0	+35
          	22/12/2020 09:45:10	0,00	24,60	24,63	24,57	0	0	+35
          	22/12/2020 09:45:52	0,00	24,65	24,60	24,64	0	0	+35
          	22/12/2020 09:46:28	0,00	24,63	24,57	24,63	0	0	+35
